,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
75,BEL,Belgium,EDUADULT,BUPPSRY,PC_25_64,2014,26.44935,53.8
76,BEL,Belgium,EDUADULT,TRY,PC_25_64,2014,36.855022,53.8
77,BEL,Belgium,EDUADULT,UPPSRY,PC_25_64,2014,36.695625,53.8
78,BEL,Belgium,EDUADULT,BUPPSRY,PC_25_64,2015,25.322903,54.2
79,BEL,Belgium,EDUADULT,TRY,PC_25_64,2015,36.857422,54.2
80,BEL,Belgium,EDUADULT,UPPSRY,PC_25_64,2015,37.819675,54.2
81,BEL,Belgium,EDUADULT,BUPPSRY,PC_25_64,2016,24.905834,52.8
82,BEL,Belgium,EDUADULT,TRY,PC_25_64,2016,37.503956,52.8
83,BEL,Belgium,EDUADULT,UPPSRY,PC_25_64,2016,37.59021,52.8
84,BEL,Belgium,EDUADULT,BUPPSRY,PC_25_64,2017,23.202787,51.9
85,BEL,Belgium,EDUADULT,TRY,PC_25_64,2017,40.257053000000006,51.9
86,BEL,Belgium,EDUADULT,UPPSRY,PC_25_64,2017,36.540157,51.9
87,BEL,Belgium,EDUADULT,BUPPSRY,PC_25_64,2018,21.773218,50.3
88,BEL,Belgium,EDUADULT,TRY,PC_25_64,2018,40.638546000000005,50.3
89,BEL,Belgium,EDUADULT,UPPSRY,PC_25_64,2018,37.588238,50.3
90,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2009,12.468069,30.7
92,CAN,Canada,EDUADULT,TRY,PC_25_64,2009,49.290721999999995,30.7
94,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2009,38.241207,30.7
96,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2010,11.736887,30.1
98,CAN,Canada,EDUADULT,TRY,PC_25_64,2010,50.311695,30.1
100,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2010,37.95142,30.1
102,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2011,11.368477,29.8
104,CAN,Canada,EDUADULT,TRY,PC_25_64,2011,51.033012,29.8
106,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2011,37.598511,29.8
108,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2012,11.035321000000001,29.8
110,CAN,Canada,EDUADULT,TRY,PC_25_64,2012,52.305415999999994,29.8
112,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2012,36.659264,29.8
114,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2013,10.45779,29.2
116,CAN,Canada,EDUADULT,TRY,PC_25_64,2013,52.971439000000004,29.2
118,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2013,36.57077,29.2
120,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2014,10.011459,29.3
122,CAN,Canada,EDUADULT,TRY,PC_25_64,2014,53.614959999999996,29.3
124,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2014,36.373581,29.3
126,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2015,9.5978909,29.4
128,CAN,Canada,EDUADULT,TRY,PC_25_64,2015,55.17366,29.4
130,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2015,35.228446999999996,29.4
132,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2016,9.3911886,26.3
133,CAN,Canada,EDUADULT,TRY,PC_25_64,2016,56.26506800000001,26.3
134,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2016,34.343746,26.3
135,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2017,8.8729382,26.3
136,CAN,Canada,EDUADULT,TRY,PC_25_64,2017,56.71451999999999,26.3
137,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2017,34.412544,26.3
138,CAN,Canada,EDUADULT,BUPPSRY,PC_25_64,2018,8.3779144,25.9
139,CAN,Canada,EDUADULT,TRY,PC_25_64,2018,57.888363,25.9
140,CAN,Canada,EDUADULT,UPPSRY,PC_25_64,2018,33.733723,25.9
141,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2009,8.5971041,16.7
142,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2009,15.544437,16.7
143,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2009,75.858459,16.7
144,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2010,8.0573692,16.1
145,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2010,16.764982,16.1
146,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2010,75.17765,16.1
147,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2011,7.6677351,15.4
148,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2011,18.243177,15.4
149,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2011,74.089088,15.4
150,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2012,7.549176200000001,14.8
151,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2012,19.277992,14.8
152,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2012,73.17282900000001,14.8
153,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2013,7.1797996,13.6
154,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2013,20.45986,13.6
155,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2013,72.360344,13.6
156,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2014,6.809908900000001,12.9
157,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2014,21.51013,12.9
158,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2014,71.679962,12.9
159,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2015,6.841207000000001,12.0
160,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2015,22.186741,12.0
161,CZE,Czech Republic,EDUADULT,UPPSRY,PC_25_64,2015,70.972054,12.0
162,CZE,Czech Republic,EDUADULT,BUPPSRY,PC_25_64,2016,6.5732007,12.0
163,CZE,Czech Republic,EDUADULT,TRY,PC_25_64,2016,22.971544,12.0
