,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12,Austria,AUT,2269.12646484,2282.51586914,2497.8659668,3091.24023438,3594.65039063,3710.39794922,3882.98193359,4478.76855469,5057.76074219,4928.98779297,4800.79345703,5167.81787109,4966.09570313,5235.34130859,5393.60205078,4612.82421875,4709.87597656,4937.97705078,5326.43701172
13,Azerbaijan,AZE,19.14171791,19.18987465,20.59066963,23.80161095,27.38257599,35.07611465,50.24787903,75.39520264,107.36143494,129.7258606,145.84526062,176.40847778,222.98551941,239.95080566,267.30972290000005,226.51002502,156.99572754,155.0982666,165.7674408
14,Burundi,BDI,8.42834568,8.60474777,7.96743488,7.16897392,9.8821106,12.77716923,16.64111137,18.25146484,18.31873894,21.8832016,26.41332245,25.13240814,21.51785278,21.93877029,20.53392982,19.4568367,22.41840553,23.58145905,24.02547073
15,Belgium,BEL,1849.91601563,1879.93481445,2084.7199707000004,2828.17163086,3326.45019531,3420.07885742,3558.54248047,4078.58325195,4671.56542969,4653.91503906,4544.99609375,4943.83203125,4706.61816406,4947.86474609,4999.18847656,4290.0,4328.84619141,4618.20898438,4912.70068359
16,Benin,BEN,15.88687897,16.81288338,17.47441101,21.57793999,24.54393578,24.12298584,25.40521812,27.92425346,30.30306816,30.71387672,31.04154778,34.96141434,39.10080719,35.76725006,34.44753647,31.30697823,30.22834778,30.05702591,30.9390583
17,Burkina Faso,BFA,7.52564335,7.70798016,8.71375179,11.74841595,17.61220932,18.08620071,21.35472488,27.96674919,29.78364944,31.59088516,33.91081619,34.873935700000004,34.89026642,43.79697418,39.59173203,33.51475906,40.95483017,44.40372086,40.24945068
18,Bangladesh,BGD,8.56026173,8.36238003,9.34001255,10.27598572,11.08631516,11.60705376,12.33577824,14.31881523,15.80424309,17.92318726,20.80270004,22.84561729,23.45907974,26.67387962,29.74625206,32.84908676,34.58186722,37.43084717,41.90905762
19,Bulgaria,BGR,94.49745178,119.82997894,148.1479187,195.74369812,233.11332703,267.74139404,294.10891724,361.23498535,455.54058838,459.30020142,484.75228882,555.86419678,558.64794922,547.45483398,605.25891113,521.41906738,562.34082031,618.70593262,689.90539551
20,Bahrain,BHR,485.6864624,484.90734863,503.03005981,567.23797607,550.35980225,570.29425049,591.3112792999999,692.96832275,757.73614502,785.26031494,796.31842041,805.3147583,971.36846924,1066.13244629,1101.25683594,1128.75915527,1098.88354492,1126.06689453,994.17901611
21,"Bahamas, The",BHS,1030.96899414,1078.69445801,1100.53259277,1138.74060059,1148.94238281,1220.78820801,1323.53088379,1415.03674316,1489.42724609,1470.68774414,1495.23132324,1491.04162598,1568.28796387,1609.31799316,1670.24035645,1635.88293457,1774.02172852,2174.17675781,2013.37927246
22,Bosnia and Herzegovina,BIH,113.31326294,112.06851959,127.21139526,180.99417114,244.52740479,262.89282227,303.51223755,388.09899902,482.93652344,425.05114746,417.74832153,467.03192139,452.97650146,486.17611694,503.99246216,441.46075439,460.88534546,481.83258057,539.54663086
23,Belarus,BLR,57.66816711,74.33643341,87.08403778,109.87693024,142.74801636,198.30737305,223.83119202,281.07763672,351.72796631,290.70153809,343.67910767,319.75372314,365.87493896,456.4916687,450.22262573,362.75283813,298.62658691,333.54107666,356.25073242
24,Belize,BLZ,131.96932983,156.85630798,165.59913635,167.88917542,169.63439941,174.03317261,188.70393372,226.0124054,249.63131714,241.48535156,242.34942627,252.94587708,246.76046753,258.22540283,292.44442749,284.11450195,296.22402954,282.58279419,285.98583984
25,Bermuda,BMU,,,,,,,,,,,,,,,,,,,
26,Bolivia,BOL,43.84843826,45.78475189,44.27474976,47.16543961,47.04486847,52.48216629,56.81023026,64.47034454,79.01570129,90.77088165,101.72988129,121.37858582,137.1217804,162.12197876,181.71205139,198.87557983,210.23809814,217.49468994,223.59788513
27,Brazil,BRA,312.53927612,270.18981934,246.94700623,251.4379425,295.52862549,384.93200684,485.59933472,602.68591309,707.49121094,721.76800537,896.69714355,1031.57617188,957.00708008,981.15283203,1017.04711914,781.80999756,801.41131592,935.29919434,848.38885498
28,Barbados,BRB,600.80895996,619.33959961,665.92028809,781.96508789,915.30462646,935.64044189,1000.6171875,1015.60668945,1107.04602051,1135.60986328,1087.65649414,1135.5177002,1263.91870117,1233.11486816,1153.88415527,1119.54821777,1129.19335938,1151.69372559,1164.54455566
29,Brunei Darussalam,BRN,508.54840088,464.79043579,473.22723389,535.27740479,619.2869873,646.16021729,654.69018555,702.66918945,788.61535645,741.29534912,803.52685547,877.15759277,883.67559814,849.33062744,798.79370117,743.92004395,692.03570557,648.66882324,763.15289307
30,Bhutan,BTN,30.89350891,35.94556046,36.13760376,37.73608017,46.90710449,47.74116898,55.31650925,66.06005859,58.85731506,61.12592697,74.09108734,79.55759429999999,85.97568512,88.24406433,88.89917755,98.56243896,98.90504456,104.85510254,102.73851776
31,Botswana,BWA,205.23696899,201.81082153,204.88697815,267.4956665,293.97189331,277.06048584,263.60546875,311.03723145,330.35922241,342.93563843,398.57070923,440.04370117,483.8059081999999,449.70568848,435.55368042,389.3807373,402.80163574,484.22390747,482.96307373
32,Central African Republic,CAF,10.28705597,9.54669666,10.80481339,12.96637344,13.89353085,14.7944603,16.09814835,19.37653732,19.16386795,22.45341301,17.81714249,20.03986931,20.52720833,17.99575615,20.81191635,18.99312592,21.8805294,29.980169300000004,53.66416168
33,Canada,CAN,2007.88085938,2063.92749023,2159.31591797,2562.91455078,2925.06713867,3296.50146484,3778.27148438,4199.28808594,4459.87646484,4357.23388672,5048.30908203,5355.67626953,5459.95947266,5409.78808594,5189.82666016,4615.64208984,4610.92626953,4845.58984375,4994.90234375
34,Central Europe and the Baltics,CEB,221.140526961712,252.17594661055,298.232475807809,372.941280917241,446.736799260729,522.503619439011,580.0235530883709,729.292100782913,927.154194364806,842.035038601641,855.053471106668,906.674413330631,850.648139047474,914.354088641809,930.562374160849,812.044377097288,844.8104369950639,932.9846278299249,1054.65445347421
35,Switzerland,CHE,3559.81982422,3763.38452148,4211.72949219,5018.52734375,5608.703125,5673.94042969,5671.98144531,6154.703125,7120.65185547,7297.37988281,7705.17578125,9191.95898438,8917.11914063,9275.79882813,9578.64550781,9382.79101563,9439.42480469,9606.34960938,9870.6640625
36,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,
37,Chile,CHL,356.96377563,327.13198853,323.06716919,349.98782349,427.51669312,500.64517212,571.20141602,648.55981445,724.70123291,735.97894287,867.73077393,991.20288086,1077.82019043,1179.47265625,1145.40856934,1127.02160645,1171.62304688,1360.17358398,1455.60791016
38,China,CHN,42.11240387,43.66367722,49.14166641,55.651084899999994,63.26198578,71.86441803,81.22816467,97.07929993,131.88728333,162.61755371,186.49150085,236.37492371,281.67715454,326.04159546,359.30932617,390.10409546,395.35995483,437.25674438,501.05938721
39,Cote d'Ivoire,CIV,36.47083664,31.83412552,31.49195862,39.49386978,47.48029327,49.2191925,54.63421631,66.77438354,78.02518463,74.76235962,73.97220612,74.19325256,76.09120941,72.74050140000001,80.42262268,63.07769775,67.21105194,69.34188843,71.88140869
40,Cameroon,CMR,27.93606567,26.67946053,30.40726662,36.96333313,40.55318832,41.44176483,42.79501724,47.281353,52.45386124,49.16592789,48.31293106,56.36682129,55.175613399999996,55.45908356,60.85925674,49.74619293,50.8497467,49.64924622,54.13952637
