,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Country
80,BEL,EDUADULT,UPPSRY,PC_25_64,2009,37.175841999999996,Belgium
81,BEL,EDUADULT,UPPSRY,PC_25_64,2010,35.51001,Belgium
82,BEL,EDUADULT,UPPSRY,PC_25_64,2011,36.653725,Belgium
83,BEL,EDUADULT,UPPSRY,PC_25_64,2012,36.32708,Belgium
84,BEL,EDUADULT,UPPSRY,PC_25_64,2013,37.223022,Belgium
85,BEL,EDUADULT,UPPSRY,PC_25_64,2014,36.695625,Belgium
86,BEL,EDUADULT,UPPSRY,PC_25_64,2015,37.819675,Belgium
87,BEL,EDUADULT,UPPSRY,PC_25_64,2016,37.59021,Belgium
88,BEL,EDUADULT,UPPSRY,PC_25_64,2017,36.540157,Belgium
89,BEL,EDUADULT,UPPSRY,PC_25_64,2018,37.588238,Belgium
90,CAN,EDUADULT,BUPPSRY,PC_25_64,2009,12.468069,Canada
91,CAN,EDUADULT,BUPPSRY,PC_25_64,2010,11.736887,Canada
92,CAN,EDUADULT,BUPPSRY,PC_25_64,2011,11.368477,Canada
93,CAN,EDUADULT,BUPPSRY,PC_25_64,2012,11.035321000000001,Canada
94,CAN,EDUADULT,BUPPSRY,PC_25_64,2013,10.45779,Canada
95,CAN,EDUADULT,BUPPSRY,PC_25_64,2014,10.011459,Canada
96,CAN,EDUADULT,BUPPSRY,PC_25_64,2015,9.5978909,Canada
97,CAN,EDUADULT,BUPPSRY,PC_25_64,2016,9.3911886,Canada
98,CAN,EDUADULT,BUPPSRY,PC_25_64,2017,8.8729382,Canada
99,CAN,EDUADULT,BUPPSRY,PC_25_64,2018,8.3779144,Canada
100,CAN,EDUADULT,TRY,PC_25_64,2009,49.290721999999995,Canada
101,CAN,EDUADULT,TRY,PC_25_64,2010,50.311695,Canada
102,CAN,EDUADULT,TRY,PC_25_64,2011,51.033012,Canada
103,CAN,EDUADULT,TRY,PC_25_64,2012,52.305415999999994,Canada
104,CAN,EDUADULT,TRY,PC_25_64,2013,52.971439000000004,Canada
105,CAN,EDUADULT,TRY,PC_25_64,2014,53.614959999999996,Canada
106,CAN,EDUADULT,TRY,PC_25_64,2015,55.17366,Canada
107,CAN,EDUADULT,TRY,PC_25_64,2016,56.26506800000001,Canada
108,CAN,EDUADULT,TRY,PC_25_64,2017,56.71451999999999,Canada
109,CAN,EDUADULT,TRY,PC_25_64,2018,57.888363,Canada
110,CAN,EDUADULT,UPPSRY,PC_25_64,2009,38.241207,Canada
111,CAN,EDUADULT,UPPSRY,PC_25_64,2010,37.95142,Canada
112,CAN,EDUADULT,UPPSRY,PC_25_64,2011,37.598511,Canada
113,CAN,EDUADULT,UPPSRY,PC_25_64,2012,36.659264,Canada
